Nama,User,Isi,Rating,Label
 Pulau Pahawang ,Fenny M,"Pahawang, siapa sih yang ga tau pulau phawang yang trletak d lampung ini dan d kenal dengan pulau yang indah, dengan warna pantai yang bergradiasi biru dan hijau, buat kmu yng mau main k pantai tekomendasi bgt jelajah plau pahawang ? kmu bakal d manjakan dengan hamparan pasir putih yang indah dan laut yang super kece,,kmu juga harus bawa perbkalan yang cukup sperti cmilan2 untuk mengganjal prut dan nemenim ptualangan kmu, krna d sini minim penjualan makanan.",5,Positif
 Pulau Pahawang ,Jalan_Zack,"Pulau pahawang merupakan suatu gugusan kepulauan yang berada di dalam sub Teluk Lampung yaitu teluk ratai, pulau pahawang dengan kedalaman rata-rata diatas 2 M menyajikan estetika keindahan bawah laut yang masih alami terjaga dan asri hal ini juga yang membuat banyak wisatawan untuk datang berkunjung ke pulau pahawang.Jika anda ingin pergi ke pulau pahawang dapat dengan open trip private trip atau perjalanan pribadi dengan menumpang perahu penyeberangan reguler yang ada di dermaga Ketapang. Untuk penyeberangan reguler hanya ada di pukul 08.00 pagi dan 4 sore dengan harga penyebrangan sekitar Rp20.000.",4,Positif
 Pulau Pahawang ,K_Susilawati,"Setelah Hari raya Idul Fitri kemarin, saya dan anak2 serta beberapa teman pergi ke Pahawang. Pengalaman pertama kesana, padahal saya asli dr Lampung.Kesan pertama terus terang fee sejumlah Rp. 180.000/orang itu cukup mahal, karena pegalaman selama ini kalau jalan ke laut tidak perlu pakai tour agent... tapi, ternyata... ""I get what I paid off""Pemandangan laut pada umumnya bagus. Tour agent membawa kami ke spot yang terbaik. Kami tiba di dermaga 3, menunggu sebentar sampai rombongan cukup, lalu kamu naik ke perahu motor. Melalui perjalanan hampir 1 jam, kami sampai di kepulauan Pahawang. Kami di bekali dengan life-vest dan snorkle. Serta di briefing bagaimana menggunakan peralatan itu.Sepanjang hati, kami berkunjung ke pulau selaki, pahawang besar dan pahawang kecil, termasuk berhenti di pasir timbulnya.Ternyata, biaya Rp. 180.000 itu sudah termasuk sewa perahu, alat keselamatan, makan siang sederhana dan foto di bawah laut yang hasilnya di share gratis pada kami semua. Wow... itu servis yang luar biasa! Pengalaman pertama ini benar2 mengesankan. Kali lain nanti saya akan coba menginap di cottage-nya agar bisa berbagi cerita lain tentang PahawangHarapan saya semoga kebersihan pulau dan dermaga sealu terjaga, agar bisa bersaing dengan keindahan wisata yg sama di kota2 lain, seperti Lombok, belitung atau pulau seribu..",4,Positif
 Pulau Pahawang ,Setia B,Tempat yang menyenangkan untuk snorkling dengan banyak spot yang indahGuide dan penduduk yang ramah membuat kita betah.Tinggal meningkatkan standar pelayanan saja seperti menu makanan dan kebersihan.Overall ok,5,Positif
 Pulau Pahawang ,Tjhin R,"Hari kedua saya sekeluarga dan teman2 di lampung mengunjungi pulau pahawang. Kami menyewa kapal dr pantai Sari Ringgung. Cukup jauh untuk menjangkau Pulau Pahawang. Ada pahawang besar dan kecil. Pertama kami visit pahawang kecil, bermain di pasir dan jg di dkt tumbuhan manggrove menjadi kesenangan anak2. Pantai nya bersih dgn pasir putih dan seolah2 membelah lautan. Hanya tdk ada toilet dan pedagang makanan. Kmudian kami lanjutkan dgn snorkling di pahawang besar. Air nya jernih hingga bs terlihat ikan2 lalu lalang dan jg terumbu karang nya. Kami puas dan anak2 bahagia, sungguh penggalaman yg menggagumkan.",4,Positif
 Central Plaza ,yopiefranz,"Kalau mau belanja kebutuhan harian rumah tangga, ya bisa di Central Plaza.Produk-produk fashion juga lumayan lengkap.Ada salon, foodcourt dan XXI.16 June 2018",4,Positif
 Central Plaza ,Hafiz F,"Mallnya kecil, tapi tenantnya lumayan banyak. Yang biasa pake ovo, pasti suka ke sini karna banyak promo cashback. Ada hypermart, matahari, Cinema 21 dll",3,Positif
 Central Plaza ,Nisazhaa,Lumayan lengkap di CP ini. Foodcourt jg banyak makanan. Barang barang yang dijual juga oke oke. Tapi suka macet jalan mau kesana.,3,Positif
 Central Plaza ,hobbytravelingADI,"Tempatnya di pringgir jalan kartini, pusa belanja foodcourt dan bioskop. Penunjung tidak selalu ramai seperti biasa, tempatnya nyaman dan bersih dan tempat parkir cukup luas.",5,Positif
 Central Plaza ,vivimahesa,Mall ini dulu jaman saya SMP bernama Artomoro. Dlu jaman sekolah suka banget kesini sama teman2. Sekarang udah berubah nama jd Central Plaza. Di mall ini lah Lampung punya pertama kali 21 (bioskop). Hrg tiket bioskop nya pun lebih murah dan fasilitas nya juga masih bagus. Saya suka!,4,Positif
